TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
ATR 72,PELITA,Komersial,A2
G IV,JETSET,CHARTER,B7
EMB 135,KARISMA,CHARTER,B4
EMB 135,IAT,CHARTER,B6
G VI,BIOMANTARA,CHARTER,RW10
G IV,JIP,CHARTER,B3
B 733,TRI MG,cargo,B10
G V,TRAVIRA,CHARTER,B8
CL 850,JETSET,CHARTER,B7
B 733,AIRNESIA,cargo,B12
A 320,BATIK AIR,Komersial,B5
HK 800,JETSET,CHARTER,B4
B 734,B. B. N.,CHARTER,B13
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
AW 139,TRAVIRA,CHARTER,SA01
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,cargo,B11
B 738,TNI AU,Militer,BASE OPS
G VI,BIOMANTARA,CHARTER,B6
A 320,BATIK AIR,Komersial,B9
ATR 72,CITILINK,Komersial,B2
C 208,SUSI AIR,Komersial,B1
C 208,SUSI AIR,Komersial,B1
PH 300,PREMI,CHARTER,B4
B 733,JAYAWIJAYA,cargo,B10
AW 139,TRAVIRA,CHARTER,SA01
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,cargo,B7
B 735,TNI AU,Militer,BASE OPS
C 208,SUSI AIR,Komersial,RW03
B 735,CITILINK,Komersial,B9
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B11
G V,AFM,CHARTER,B5
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B1
C 208,SUSI AIR,Komersial,A1
G VI,KARISMA,CHARTER,B4
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
G IV,JETSET,CHARTER,B3
C130J,AFM,CHARTER,A2
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
ATR 72,PELITA,Komersial,A3
G IV,JIP,CHARTER,B4
B 733,TRI MG,cargo,B11
B 733,JAYAWIJAYA,cargo,B12
EMB 135,KARISMA,CHARTER,B5
AS 350,DERAZONA,CHARTER,WR01
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B3
BELL 412EP,,CHARTER,SA01
BELL 412EP,,CHARTER,SA01
ATR 72,CITILINK,Komersial,B6
A 320,BATIK AIR,Komersial,B8
G V,TRAVIRA,CHARTER,B9
