aircraft_type,operator_airline,category,parking_stand,source
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
GLEX,JAS,CHARTER,B4,DATASET AMC.csv
ATR 72,TRAVIRA,CHARTER,B6,DATASET AMC.csv
B 733,TRI MG,cargo,B13,DATASET AMC.csv
B 733,AIRNESIA,cargo,B12,DATASET AMC.csv
CL 850,JETSET,CHARTER,B5,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC.csv
G VI,KARISMA,CHARTER,B7,DATASET AMC.csv
B 734,B. B. N.,cargo,B11,DATASET AMC.csv
B 733,TRIGANA,cargo,B9,DATASET AMC.csv
B 733,TRIGANA,cargo,B13,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B4,DATASET AMC.csv
C 208,SUSI AIR,Komersial,A0,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
G V,KARISMA,CHARTER,B5,DATASET AMC.csv
B 733,TRIGANA,cargo,B12,DATASET AMC.csv
A 320,CITILINK,Komersial,B2,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
C 208,SUSI AIR,Komersial,A0,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
ATR 42,IAT,CHARTER,B6,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B5,DATASET AMC.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC.csv
B 733,AIRNESIA,cargo,B11,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A1,DATASET AMC.csv
B 733,TRIGANA,cargo,B12,DATASET AMC.csv
A 320,CITILINK,Komersial,B2,DATASET AMC.csv
BBJ,JIP,CHARTER,B4,DATASET AMC.csv
EMB 135,KARISMA,CHARTER,B7,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
B 733,TRIGANA,cargo,B13,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
A 320,CITILINK,Komersial,A1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
ATR 72,CITILINK,Komersial,B6,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
EMB 135,AFM,CHARTER,B4,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
B 733,TRIGANA,cargo,B12,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B10,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
ATR 72,PELITA,CHARTER,B1,DATASET AMC.csv
B 734,B. B. N.,cargo,B11,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
B 733,AIRNESIA,cargo,B10,DATASET AMC.csv
EMB 135,AFM,CHARTER,B7,DATASET AMC.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC.csv
B 733,TRIGANA,cargo,B13,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC.csv
A 320,CITILINK,Komersial,B3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B5,DATASET AMC.csv
B 733,TRIGANA,cargo,B13,DATASET AMC.csv
B 733,AIRNESIA,cargo,B10,DATASET AMC.csv
B 733,TRIGANA,cargo,B9,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC.csv
GLEX,PREMI,CHARTER,B3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B10,DATASET AMC.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC.csv
B 733,TRIGANA,cargo,B12,DATASET AMC.csv
G IV,JETSET,CHARTER,B6,DATASET AMC.csv
A 320,CITILINK,Komersial,B2,DATASET AMC.csv
G VII,JIP,CHARTER,B4,DATASET AMC.csv
C 208,SUSI AIR,Komersial,A0,DATASET AMC.csv
A 320,CITILINK,Komersial,A3,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
B 733,TRIGANA,cargo,B13,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
CT 680,JIP,CHARTER,B3,DATASET AMC.csv
EMB 135,IAT,CHARTER,B5,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A1,DATASET AMC.csv
B 733,AIRNESIA,cargo,B10,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
BBJ,JIP,CHARTER,B3,DATASET AMC.csv
GLEX,AFM,CHARTER,B6,DATASET AMC.csv
A 320,CITILINK,Komersial,B2,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
A 320,CITILINK,Komersial,A3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC.csv
G IV,JETSET,CHARTER,B4,DATASET AMC.csv
ATR 72,PELITA,CHARTER,A1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
B 733,TRIGANA,cargo,B11,DATASET AMC.csv
GLEX,PREMI,CHARTER,B3,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
A 320,CITILINK,Komersial,B9,DATASET AMC.csv
PH 300,PURAWISATA,CHARTER,B6,DATASET AMC.csv
EMB 135,AFM,CHARTER,B4,DATASET AMC.csv
A 320,CITILINK,Komersial,A2,DATASET AMC.csv
ATR 72,CITILINK,Komersial,A3,DATASET AMC.csv
CT 680,JIP,CHARTER,B4,DATASET AMC.csv
B 733,TRIGANA,cargo,B12,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B2,DATASET AMC.csv
B 734,B. B. N.,cargo,B10,DATASET AMC.csv
HK 900,KARISMA,CHARTER,B4,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
B 733,AIRNESIA,cargo,B8,DATASET AMC.csv
B 738,GARUDA,Komersial,B2,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B3,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC.csv
B 733,TRI MG,cargo,B4,DATASET AMC.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC.csv
A 320,CITILINK,Komersial,B1,DATASET AMC.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC.csv
