aircraft_type,operator_airline,category,airline_category,aircraft_airline,aircraft_category,parking_stand,aircraft_type_enc,operator_airline_enc,category_enc,airline_category_enc,aircraft_airline_enc,aircraft_category_enc,parking_stand_enc
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A3,0,5,2,5,0,0,3
GLEX,JAS,Charter,JAS|Charter,GLEX|JAS,GLEX|Charter,B4,34,13,1,13,62,37,11
ATR 72,TRAVIRA,Charter,TRAVIRA|Charter,ATR 72|TRAVIRA,ATR 72|Charter,B6,4,25,1,25,8,4,13
B 733,TRI MG,Cargo,TRI MG|Cargo,B 733|TRI MG,B 733|Cargo,B13,7,26,0,26,14,9,8
B 733,AIRNESIA,Cargo,AIRNESIA|Cargo,B 733|AIRNESIA,B 733|Cargo,B12,7,2,0,2,13,9,7
CL 850,JETSET,Charter,JETSET|Charter,CL 850|JETSET,CL 850|Charter,B5,18,14,1,14,27,21,12
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B9,0,5,2,5,0,0,16
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B3,0,5,2,5,0,0,10
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B8,0,5,2,5,0,0,15
G VI,KARISMA,Charter,KARISMA|Charter,G VI|KARISMA,G VI|Charter,B7,32,16,1,16,52,35,14
B 734,B. B. N.,Cargo,B. B. N.|Cargo,B 734|B. B. N.,B 734|Cargo,B11,8,4,0,4,16,10,6
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B9,7,27,0,27,15,9,16
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B13,7,27,0,27,15,9,8
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B4,0,5,2,5,0,0,11
C 208,SUSI AIR,Komersial,SUSI AIR|Komersial,C 208|SUSI AIR,C 208|Komersial,A0,16,23,2,23,25,19,0
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B7,0,5,2,5,0,0,14
ATR 72,CITILINK,Komersial,CITILINK|Komersial,ATR 72|CITILINK,ATR 72|Komersial,B2,4,8,2,8,6,5,9
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B1,0,8,2,8,1,0,4
G V,KARISMA,Charter,KARISMA|Charter,G V|KARISMA,G V|Charter,B5,31,16,1,16,57,36,12
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B12,7,27,0,27,15,9,7
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B2,0,8,2,8,1,0,9
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A3,0,5,2,5,0,0,3
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A2,0,5,2,5,0,0,2
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B1,0,8,2,8,1,0,4
B 738,GARUDA,Komersial,GARUDA|Komersial,B 738|GARUDA,B 738|Komersial,B2,10,11,2,11,18,12,9
C 208,SUSI AIR,Komersial,SUSI AIR|Komersial,C 208|SUSI AIR,C 208|Komersial,A0,16,23,2,23,25,19,0
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A1,0,5,2,5,0,0,1
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A3,0,5,2,5,0,0,3
ATR 42,IAT,Charter,IAT|Charter,ATR 42|IAT,ATR 42|Charter,B6,3,12,1,12,4,3,13
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B5,0,5,2,5,0,0,12
ATR 72,CITILINK,Komersial,CITILINK|Komersial,ATR 72|CITILINK,ATR 72|Komersial,B1,4,8,2,8,6,5,4
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A2,0,5,2,5,0,0,2
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B6,0,5,2,5,0,0,13
B 733,AIRNESIA,Cargo,AIRNESIA|Cargo,B 733|AIRNESIA,B 733|Cargo,B11,7,2,0,2,13,9,6
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,A1,0,5,2,5,0,0,1
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B12,7,27,0,27,15,9,7
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B2,0,8,2,8,1,0,9
BBJ,JIP,Charter,JIP|Charter,BBJ|JIP,BBJ|Charter,B4,11,15,1,15,20,14,11
EMB 135,KARISMA,Charter,KARISMA|Charter,EMB 135|KARISMA,EMB 135|Charter,B7,24,16,1,16,38,27,14
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,B1,0,8,2,8,1,0,4
B 733,TRIGANA,Cargo,TRIGANA|Cargo,B 733|TRIGANA,B 733|Cargo,B13,7,27,0,27,15,9,8
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B9,0,5,2,5,0,0,16
A 320,BATIK AIR,Komersial,BATIK AIR|Komersial,A 320|BATIK AIR,A 320|Komersial,B7,0,5,2,5,0,0,14
A 320,CITILINK,Komersial,CITILINK|Komersial,A 320|CITILINK,A 320|Komersial,A1,0,8,2,8,1,0,1
