REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
PK-GFH,B 738,21:49,,B2,WARR,,GA 3354,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQL,A 320,10:32,11:03,B2,WARR,WIPP,QG 0171,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GLU,A 320,16:48,17:34,B1,WARA,WARR,QG 0165,QG 0172,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-586,,,,,,,,,,,,,,True,B737,BATIK AIR,COMMERCIAL,B8
PK-YST,B 733,21:50,,B11,WALL,,IL 728,,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-322,,,,,,,,,,,,,,True,B733,KARISMA,CHARTER,B8
PK-BKP,A 320,6:20,7:06,A2,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-PAH,ATR 72,16:36,,A2,WIDM,,IP 7301,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-230,,,,,,,,,,,,,,True,C208,SUSI AIR,COMMERCIAL,A0
SYNTH-389,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B3
SYNTH-298,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A1
PK-PAH,ATR 72,15:51,,A1,WIDM,,IP 7301,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-MBA,B 733,10:48,,B13,WALL,,GM 030,,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-118,,,,,,,,,,,,,,True,B737,FLY JAYA,COMMERCIAL,B1
SYNTH-3,,,,,,,,,,,,,,True,B738,FLY JAYA,COMMERCIAL,B1
PK-CAA,CT 700,17:03,17:38,B4,WAGB,WIRR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-PAH,ATR 72,21:31,,A2,SA08,,,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-437,,,,,,,,,,,,,,True,B733,TRI MG,CARGO,B8
T7-ARN,G VI,11:07,11:39,B3,WAGI,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAZ,A 320,15:20,18:46,B1,WAHI,WIPP,ID 7538,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-122,,,,,,,,,,,,,,True,G IV,KARISMA,CHARTER,B4
PK-GJV,ATR 72,13:10,13:38,A3,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-KAS,CL 850,15:33,16:01,B6,WADD,RW09,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUG,A 320,6:15,7:07,B3,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-319,,,,,,,,,,,,,,True,C404,PREMI,CHARTER,B8
T7-ISZ,G IV,15:17,17:39,B8,HGR,WIII,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-284,,,,,,,,,,,,,,True,ATR42,SUSI AIR,COMMERCIAL,A1
PK-GLR,A 320,13:56,14:34,B1,WIPP,WARR,QG 0089,QG 9174,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,7:08,7:47,B2,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-61WX,G VI,6:27,7:46,B5,RW04,WAHS,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YSH,B 733,6:38,8:17,B12,WAOO,WIDN,IL 726,IL 717,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-366,,,,,,,,,,,,,,True,B737,PELITA,COMMERCIAL,A3
PK-LUS,A 320,21:05,,B7,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-RJT,CT 560,9:11,10:37,B3,HGR,WSSL,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-MYR,G VII,12:39,12:53,B7,WAAA,HGR,,,TRAVIRA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-S16,G 500,15:20,19:08,B4,HGR,WAAA,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-630,,,,,,,,,,,,,,True,ATR42,SUSI AIR,COMMERCIAL,B2
PK-BKT,A 320,12:35,13:25,B6,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAM,A 320,7:49,8:41,B4,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-38,,,,,,,,,,,,,,True,G IV,PTN,CHARTER,B3
SYNTH-100,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A0
