aircraft_type,operator_airline,category,parking_stand
ATR 72,PELITA,Komersial,A2
G IV,JETSET,Charter,B7
EMB 135,KARISMA,Charter,B4
EMB 135,IAT,Charter,B6
G IV,JIP,Charter,B3
B 733,TRI MG,Cargo,B10
G V,TRAVIRA,Charter,B8
CL 850,JETSET,Charter,B7
B 733,AIRNESIA,Cargo,B12
A 320,BATIK AIR,Komersial,B5
HK 800,JETSET,Charter,B4
B 734,B. B. N.,Charter,B13
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,Cargo,B11
G VI,BIOMANTARA,Charter,B6
A 320,BATIK AIR,Komersial,B9
ATR 72,CITILINK,Komersial,B2
C 208,SUSI AIR,Komersial,B1
C 208,SUSI AIR,Komersial,B1
PH 300,PREMI,Charter,B4
B 733,JAYAWIJAYA,Cargo,B10
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,Cargo,B7
B 735,CITILINK,Komersial,B9
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,Cargo,B11
G V,AFM,Charter,B5
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B1
C 208,SUSI AIR,Komersial,A1
G VI,KARISMA,Charter,B4
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
G IV,JETSET,Charter,B3
C130J,AFM,Charter,A2
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
ATR 72,PELITA,Komersial,A3
G IV,JIP,Charter,B4
B 733,TRI MG,Cargo,B11
B 733,JAYAWIJAYA,Cargo,B12
EMB 135,KARISMA,Charter,B5
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B3
ATR 72,CITILINK,Komersial,B6
A 320,BATIK AIR,Komersial,B8
G V,TRAVIRA,Charter,B9
A 320,BATIK AIR,Komersial,B7
G VI,PREMI,Charter,B4
B 733,TRIGANA,Cargo,B12
B 733,AIRNESIA,Cargo,B10
A 320,CITILINK,Komersial,B1
PH 300,PREMI,Charter,B3
G VI,AFM,Charter,B4
HK 800,JETSET,Charter,B5
A 320,BATIK AIR,Komersial,B2
B 735,CITILINK,Komersial,B10
HK 800,JETSET,Charter,A1
G 500,KARISMA,Charter,B7
EMB 135,KARISMA,Charter,B4
