REGISTRATION,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND,IS_SYNTHETIC
SYNTH-0,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-1,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-2,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-3,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-4,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-5,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-6,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-7,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-8,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-9,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-10,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-11,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-12,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-13,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-14,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-15,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-16,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-17,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-18,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-19,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-20,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-21,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-22,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-23,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-24,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-25,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-26,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-27,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-28,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-29,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-30,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-31,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-32,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-33,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-34,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-35,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-36,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-37,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-38,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-39,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-40,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-41,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-42,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-43,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-44,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-45,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-46,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-47,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-48,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-49,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-50,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-51,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-52,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-53,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-54,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-55,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-56,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-57,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-58,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-59,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-60,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-61,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-62,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-63,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-64,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-65,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-66,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-67,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-68,B737,BATIK AIR,COMMERCIAL,A3,True
